Unnamed: 0,country,designation,points,price,price_GBP
36,Chile,Estate,86,15.0,18.0
44,Chile,,86,9.0,10.8
51,Chile,Gran Reserva,85,22.0,26.4
58,Chile,Reserve,85,13.0,15.6
80,Chile,Special Release Reserva,86,12.0,14.4
103,Chile,Single Vineyard Falaris Hill,87,18.0,21.6
164,Chile,Condesa Real Premium Blend,91,29.0,34.8
165,Chile,20 Barrels,91,32.0,38.4
172,Chile,The 7th Generation Gran Reserva Estate Bottled,91,20.0,24.0
176,Chile,Unusual Cabernet-Shiraz-Zinfandel,88,50.0,60.0
185,Chile,Envero Gran Reserva,88,15.0,18.0
188,Chile,Casa La Joya Reserve,88,11.0,13.2
189,Chile,Natura,87,11.0,13.2
296,Chile,Grey [Glacier] Single Block Trinidad Vineyard,87,20.0,24.0
298,Chile,,87,19.0,22.8
318,Chile,Reserva,86,18.0,21.6
323,Chile,Gran Araucano,86,35.0,42.0
327,Chile,Legado Reserva,86,18.0,21.6
331,Chile,Visión,86,15.0,18.0
336,Chile,Costa,83,35.0,42.0
343,Chile,Grand Reserve,81,20.0,24.0
344,Chile,Gran Reserva,80,19.0,22.8
367,Chile,Reserva de la Familia,88,10.0,12.0
380,Chile,Estate Bottled,88,12.0,14.4
382,Chile,Estate Grown Reserve,88,15.0,18.0
390,Chile,Reserve,88,12.0,14.4
391,Chile,Reserve,88,14.0,16.8
393,Chile,Castillo de Molina Reserva,87,11.0,13.2
394,Chile,Reserva,87,12.0,14.4
397,Chile,Visión,85,15.0,18.0
398,Chile,Estate Selection,85,13.0,15.6
402,Chile,Casa la Joya Reserve,85,11.0,13.2
407,Chile,Casa,85,14.0,16.8
514,Chile,20 Barrels Limited Edition Peralillo Estate,91,35.0,42.0
530,Chile,Cuvée Alexandre Apalta Vineyard Made With Organic Grapes,91,24.0,28.8
751,Chile,347 Vineyards,87,13.0,15.6
761,Chile,Antu,87,19.0,22.8
817,Chile,Block Selection Reserve Block N. 10,86,12.0,14.4
827,Chile,,86,11.0,13.2
834,Chile,Reserva Estate Bottled,86,10.0,12.0
868,Chile,Gran Reserva,90,15.0,18.0
967,Chile,Selected Terroir,85,10.0,12.0
969,Chile,Pionero,85,9.0,10.8
1009,Chile,Gran Reserva,88,18.0,21.6
1057,Chile,El Delirio Reserve Syrah-Malbec,85,11.0,13.2
1096,Chile,Millantu,90,25.0,30.0
1100,Chile,Éclat Vigno Old Vine Blend,90,35.0,42.0
1129,Chile,Reserva,84,13.0,15.6
1135,Chile,Reserva Casillero del Diablo,84,11.0,13.2
1141,Chile,Medalla Real Gran Reserva,84,18.0,21.6
1150,Chile,Reserva Casillero del Diablo,83,11.0,13.2
1366,Chile,Reserve,87,9.0,10.8
1382,Chile,Vineyard Reserve,86,20.0,24.0
1473,Chile,Reserva,86,12.0,14.4
1477,Chile,Reserve,86,14.0,16.8
1479,Chile,Reserva,85,9.0,10.8
1480,Chile,Los Vascos,85,12.0,14.4
1499,Chile,Castillo de Molina Reserva,85,12.0,14.4
1509,Chile,Gê,92,92.0,110.4
1519,Chile,Terrunyo Vineyard Selection Block Las Terrazas Unfiltered,92,38.0,45.6
1521,Chile,Aluvion Gran Reserva Ensamblaje,92,29.0,34.8
1524,Chile,VSC,92,40.0,48.0
1546,Chile,,85,15.0,18.0
1548,Chile,120 Reserva Especial,85,8.0,9.6
1549,Chile,,85,10.0,12.0
1769,Chile,Grand Reserve,84,15.0,18.0
1773,Chile,,84,13.0,15.6
1915,Chile,Tribute Edicion Limitada Syrah-Cabernet Sauvignon-Viognier,87,30.0,36.0
1916,Chile,Novas Gran Reserva Made with Organically Grown Grapes,87,16.0,19.2
1917,Chile,Max Reserva,87,19.0,22.8
1924,Chile,La Joya Gran Reserva,87,15.0,18.0
1935,Chile,Ona Special Reserve,87,18.0,21.6
1937,Chile,Tribute Edicion Limitada Cabernet Franc-Petit Verdot,87,30.0,36.0
1938,Chile,Gran Reserva,87,19.0,22.8
1949,Chile,Guardián Reserva,86,10.0,12.0
1954,Chile,First Edition,86,18.0,21.6
1965,Chile,Viña Punto Alto,88,20.0,24.0
2025,Chile,Anke Blend 2 Carménère-Petit Verdot-Shiraz,87,15.0,18.0
2027,Chile,Gran Reserva Petit Verdot-Carmère-Cabernet Sauvignon,87,15.0,18.0
2078,Chile,Terrunyo El Triángulo Vineyard Block: 28,90,25.0,30.0
2084,Chile,Edición Limitada,90,22.0,26.4
2105,Chile,Legado Reserva,87,15.0,18.0
2194,Chile,Los Lingues Vineyard,88,20.0,24.0
2205,Chile,,88,20.0,24.0
2218,Chile,Sucesor,88,20.0,24.0
2219,Chile,Espino,88,17.0,20.4
2331,Chile,Grand Reserve,85,18.0,21.6
2336,Chile,Reserva Privada,85,15.0,18.0
2338,Chile,La Finca Clos D'Angel,85,13.0,15.6
2341,Chile,Reserva Encinos,85,12.0,14.4
2410,Chile,Reserve,85,13.0,15.6
2418,Chile,,85,18.0,21.6
2424,Chile,Visión El Recurso Single Vineyard,85,16.0,19.2
2433,Chile,Coastal Cool Climate,85,14.0,16.8
2487,Chile,Los Vascos,88,14.0,16.8
2493,Chile,Gran Reserva,88,17.0,20.4
2494,Chile,Gran Reserva,88,17.0,20.4
2504,Chile,Envero Gran Reserve,88,17.0,20.4
2603,Chile,Axel Primero,90,40.0,48.0
2606,Chile,Edición Limitada,90,23.0,27.6
2607,Chile,Raices Nobles,90,21.0,25.2
2641,Chile,Kuyen,90,30.0,36.0
2693,Chile,Estate Reserve,87,10.0,12.0
2694,Chile,Reserva,87,12.0,14.4
2698,Chile,Legado de Armida Reserva,87,10.0,12.0
2703,Chile,Estate Bottled Reserve,87,12.0,14.4
2704,Chile,Big Tattoo Red,87,9.0,10.8
2705,Chile,,87,8.0,9.6
2707,Chile,,87,12.0,14.4
2713,Chile,Edicion Limitada - 66 Barricas,87,,
2718,Chile,Alpha,87,20.0,24.0
2719,Chile,Xplorador,87,7.0,8.4
2732,Chile,Gran Reserva Sibaris,86,17.0,20.4
2734,Chile,Vitral,86,11.0,13.2
2737,Chile,Reserva Casillero del Diablo,86,11.0,13.2
2738,Chile,Reserva,86,11.0,13.2
2741,Chile,Tectonia,86,23.0,27.6
2753,Chile,,84,12.0,14.4
2756,Chile,Unfiltered,84,25.0,30.0
2760,Chile,Classic Series,84,13.0,15.6
2761,Chile,,84,8.0,9.6
2762,Chile,,84,12.0,14.4
2772,Chile,The 7th Generation Reserva,84,15.0,18.0
2773,Chile,Estate Bottled,83,12.0,14.4
2774,Chile,Gran Reserva,83,15.0,18.0
2777,Chile,Reserva,83,10.0,12.0
2779,Chile,Reserve,83,16.0,19.2
2854,Chile,Elegido Gran Reserva,88,18.0,21.6
2858,Chile,1865 Single Vineyard,88,18.0,21.6
2924,Chile,,84,10.0,12.0
2930,Chile,Pionero,84,9.0,10.8
3093,Chile,Manso de Velasco Viejas Viñas Old Vines,88,42.0,50.4
3102,Chile,Catalina,88,40.0,48.0
3103,Chile,20 Barrels,88,24.0,28.8
3104,Chile,Visión,88,13.0,15.6
3110,Chile,Microterroir de los Lingues,88,49.0,58.8
3236,Chile,EQ,88,,
3422,Chile,Reserva,86,12.0,14.4
3492,Chile,Reserve Barrel Select,87,12.0,14.4
3496,Chile,Reserva,87,11.0,13.2
3610,Chile,Secreto,86,14.0,16.8
3613,Chile,Castillo de Molina Reserva,86,12.0,14.4
3619,Chile,Selección,82,15.0,18.0
3620,Chile,Hacienda Araucano Reserva,82,13.0,15.6
3627,Chile,Cherub Rosé of Syrah,82,20.0,24.0
3630,Chile,,82,20.0,24.0
3631,Chile,,82,10.0,12.0
3635,Chile,,81,14.0,16.8
3637,Chile,Reserva Cabernet Sauvignon-Syrah,81,12.0,14.4
3639,Chile,,81,10.0,12.0
3641,Chile,Reserve,80,15.0,18.0
3666,Chile,Gran Reserva,84,14.0,16.8
3673,Chile,Selected Terroir,84,10.0,12.0
3681,Chile,Reserva,84,9.0,10.8
3731,Chile,,86,12.0,14.4
3743,Chile,Puerto Viejo Estate Bottled Single Vineyard Reserve,86,10.0,12.0
3747,Chile,Alba,86,8.0,9.6
3755,Chile,Limited Release,86,25.0,30.0
3801,Chile,,88,10.0,12.0
3809,Chile,Reserva,88,12.0,14.4
3856,Chile,,92,60.0,72.0
3958,Chile,Alazan CJ's Barrel,90,32.0,38.4
3959,Chile,Cuvée Alexandre Las Kuras Vineyard,90,24.0,28.8
4046,Chile,Toro de Piedra Grand Reserve Late Harvest,88,12.0,14.4
4085,Chile,Kuyen,90,40.0,48.0
4098,Chile,Secreto,86,15.0,18.0
4109,Chile,Del Viento Paredones Estate Single Vineyard,86,20.0,24.0
4182,Chile,Block Selection Tinga Reserve,87,12.0,14.4
4192,Chile,Reserva,87,13.0,15.6
4196,Chile,,87,25.0,30.0
4198,Chile,Serie Riberas Gran Reserva Ribera del Cachapoal,87,17.0,20.4
4199,Chile,Serie Riberas Gran Reserva Ribera del Tinguiririca,87,17.0,20.4
4241,Chile,Nimbus Single Vineyard,88,23.0,27.6
4247,Chile,Spring Harvest,88,16.0,19.2
4259,Chile,Coastal Cool Climate Estate Bottled,85,17.0,20.4
4293,Chile,Grand Reserve,89,25.0,30.0
4311,Chile,Gran Reserva,89,22.0,26.4
4320,Chile,Gran Reserva,89,18.0,21.6
4440,Chile,Mariposa Estate Old Vines Dry Farmed,89,20.0,24.0
4528,Chile,Reina Ana,82,9.0,10.8
4548,Chile,,81,10.0,12.0
4554,Chile,Albamar,81,13.0,15.6
4606,Chile,Visión,87,13.0,15.6
4616,Chile,Viognier-Sauvignon Blanc-Chardonnay,87,8.0,9.6
4692,Chile,1865 Limited Edition,91,30.0,36.0
4841,Chile,Q Grand Reserve,87,10.0,12.0
4844,Chile,Reserva,87,14.0,16.8
4881,Chile,Gran Reserva de Los Andes,87,15.0,18.0
4882,Chile,Reserva Estate Bottled,87,12.0,14.4
4890,Chile,Reserva Privada,87,15.0,18.0
4891,Chile,Chungará Gran Reserva,87,14.0,16.8
4972,Chile,1865 Single Vineyard,90,19.0,22.8
4987,Chile,,88,15.0,18.0
4999,Chile,Reserva Especial,88,19.0,22.8
5043,Chile,Canto de Apalta Cellar Selection,91,22.0,26.4
5092,Chile,First Edition,86,18.0,21.6
